dataset,lambda,policy,n,wait_mean,srv_mean,tot_mean,wait_p95,tot_p95
cifar10,0.3,ddpm_only,25,1.4539680366992158,1.7566238699310253,3.2105919066302415,3.322988199421197,4.357946205377232
cifar10,0.6,ddpm_only,39,2.3299539154286437,1.4499253947438813,3.7798793101725265,4.948376407401088,5.91211501477444
cifar10,0.9,ddpm_only,62,3.1361982280626144,0.9732386151274999,4.109436843190114,6.077130145058723,6.440640768696693
cifar10,0.3,ddim_only,25,1.3292218613952564,1.646178344146827,2.9754002055420834,3.470755892762011,4.447153727403134
cifar10,0.6,ddim_only,39,1.928838808625719,1.3437276012503756,3.2725664098760947,4.312961603578195,5.233544395760508
cifar10,0.9,ddim_only,62,2.862861001507978,0.967395408438088,3.830256409946066,5.604952020597316,6.02319943065035
cifar10,0.3,mixed,25,1.3654842500340223,1.7367150179313566,3.102199267965379,3.2171469679575853,4.275366606360683
cifar10,0.6,mixed,39,2.290881932775605,1.4388341995772582,3.7297161323528645,4.828451386066558,5.749034178248871
cifar10,0.9,mixed,62,3.181348897365297,0.9801154446778136,4.161464342043111,5.705680877927221,6.128536110309176
flowers,0.3,ddpm_only,25,2.7987562145826597,2.067251405480174,4.866007620062835,6.2520233303785995,7.086489048769913
flowers,0.6,ddpm_only,39,3.88232927615471,1.5324848197971945,5.414814095951905,6.813487185730594,7.640604900898445
flowers,0.9,ddpm_only,62,6.277013252452962,1.0255591701371427,7.3025724225901065,9.133465543138055,9.811070947348538
flowers,0.3,ddim_only,25,2.795083512048129,2.0662453816502704,4.861328893698398,6.244373190232556,7.077355757324362
flowers,0.6,ddim_only,39,3.860761342505006,1.5310110413020968,5.391772383807102,6.799894856919159,7.622424067076979
flowers,0.9,ddim_only,62,6.220584711346357,1.0236419891485415,7.244226700494897,9.087835792525112,9.763219664275454
flowers,0.3,mixed,25,2.7954594019721144,2.0663602369048215,4.861819638876936,6.244895259571427,7.077877826663233
flowers,0.6,mixed,39,3.861370423400351,1.5310578936786619,5.3924283170790135,6.800416926258026,7.622946136415846
flowers,0.9,mixed,62,6.2213257129886195,1.0236588300949567,7.244984543083576,9.088383965330923,9.763767837081264
faces,0.3,ddpm_only,25,68.01262971275129,6.002552473074448,74.01518218582575,87.811973189621,91.77072923423654
faces,0.6,ddpm_only,39,99.44294540398141,5.268881960294327,104.71182736427575,140.22439784669942,144.18315389131496
faces,0.9,ddpm_only,62,142.51804068427313,4.78286750770381,147.30090819197693,227.72663478350682,231.68539082812237
faces,0.3,ddim_only,25,71.10528257562481,6.247702852114269,77.35298542773907,93.10942280407545,97.29909825467462
faces,0.6,ddim_only,39,104.16429463937335,5.50892378490372,109.67321842427707,148.91636272911322,153.10603817971239
faces,0.9,ddim_only,62,149.90308498376936,5.019525209274612,154.92261019304402,241.46418868666282,245.653864137262
faces,0.3,mixed,25,70.45712025761041,6.220121476879613,76.67724173449004,92.41988842320907,96.60956387380824
faces,0.6,mixed,39,103.50128081161722,5.491243416163556,108.9925242277808,148.22682834824684,152.416503798846
faces,0.9,mixed,62,149.23023288631103,5.008403687002573,154.23863657331364,240.77465430579642,244.96432975639559
