algo,steps,n_imgs,dataset,seed,total_s,per_step_ms
DDPM,5,4,cifar10,42,0.1011667251586914,20.23334503173828
DDPM,10,4,cifar10,42,0.197523832321167,19.7523832321167
DDPM,25,4,cifar10,42,0.4945101737976074,19.780406951904297
DDPM,50,4,cifar10,42,0.9635298252105713,19.270596504211426
DDPM,100,4,cifar10,42,1.9511995315551758,19.511995315551758
DDPM,250,4,cifar10,42,5.6538121700286865,22.615248680114746
DDIM,5,4,cifar10,42,0.15227365493774414,30.454730987548828
DDIM,10,4,cifar10,42,0.2473154067993164,24.73154067993164
DDIM,25,4,cifar10,42,0.4974095821380615,19.89638328552246
DDIM,50,4,cifar10,42,0.9605774879455566,19.211549758911133
DDIM,100,4,cifar10,42,1.9029486179351807,19.029486179351807
DDIM,250,4,cifar10,42,4.702564239501953,18.810256958007812
