dataset,lambda,policy,n_jobs_mean,wait_mean,wait_ci_lo,wait_ci_hi,srv_mean,srv_ci_lo,srv_ci_hi,tot_mean,tot_ci_lo,tot_ci_hi
cifar10,0.3,fixed_ddpm_100,22.8,2.5916181754594847,1.1588624471575573,4.024373903761412,2.1643934335321133,2.1643934335321133,2.1643934335321133,4.7560116089915985,3.323255880689671,6.188767337293526
cifar10,0.3,fixed_ddim_50,22.8,0.38672778721780043,0.17949431838137722,0.5939612560542237,0.9763978346411213,0.976397834641121,0.9763978346411216,1.3631256218589214,1.1558921530224981,1.5703590906953446
cifar10,0.3,fixed_ddim_20,22.8,0.057767607304203016,0.027741495549529722,0.08779371905887631,0.41824741005303495,0.41824741005303473,0.4182474100530352,0.476015017357238,0.4459889056025645,0.5060411291119116
cifar10,0.3,policy_3level,22.8,1.2502107270036886,0.8488745617158554,1.6515468922915217,1.811216533511896,1.6614245494964226,1.9610085175273693,3.061427260515585,2.800962147998929,3.3218923730322407
cifar10,0.6,fixed_ddpm_100,39.4,14.340102605363848,10.225026872533464,18.45517833819423,2.1643934335321133,2.1643934335321133,2.1643934335321133,16.504496038895958,12.389420306065574,20.619571771726342
cifar10,0.6,fixed_ddim_50,39.4,0.8035519383682164,0.5046044189545299,1.102499457781903,0.9763978346411213,0.9763978346411211,0.9763978346411215,1.7799497730093379,1.4810022535956513,2.0788972924230245
cifar10,0.6,fixed_ddim_20,39.4,0.1094509798497528,0.07167152406945904,0.14723043563004656,0.4182474100530348,0.4182474100530346,0.41824741005303495,0.5276983899027875,0.4899189341224937,0.5654778456830812
cifar10,0.6,policy_3level,39.4,2.173079732884606,1.9056002528662566,2.440559212902955,1.453589698947472,1.3857097209671188,1.521469676927825,3.6266694318320782,3.405519936646529,3.8478189270176273
cifar10,0.9,fixed_ddpm_100,60.8,35.58754966831422,33.17824439212477,37.99685494450367,2.1643934335321133,2.164393433532113,2.1643934335321138,37.75194310184633,35.34263782565688,40.16124837803578
cifar10,0.9,fixed_ddim_50,60.8,2.79144518797959,1.3996178814116944,4.183272494547486,0.9763978346411211,0.9763978346411207,0.9763978346411214,3.767843022620711,2.3760157160528155,5.159670329188607
cifar10,0.9,fixed_ddim_20,60.8,0.1861125169082857,0.12157782313836411,0.2506472106782073,0.4182474100530347,0.41824741005303456,0.4182474100530348,0.6043599269613205,0.5398252331913989,0.6688946207312421
cifar10,0.9,policy_3level,60.8,2.736500233264371,2.4560843488510957,3.016916117677646,1.02526229804493,0.9744478160617005,1.0760767800281594,3.7617625313093006,3.5127320885695648,4.0107929740490365
flowers,0.3,fixed_ddpm_100,22.8,6.537429381519845,2.6905577250399815,10.384301037999709,2.9189699223874044,2.918969922387404,2.918969922387405,9.456399303907247,5.609527647427384,13.30327096038711
flowers,0.3,fixed_ddim_50,22.8,1.0752165847077821,0.5302559733865232,1.620177196029041,1.5166307527382012,1.516630752738201,1.5166307527382015,2.591847337445983,2.0468867261247246,3.136807948767242
flowers,0.3,fixed_ddim_20,22.8,0.1662890729140894,0.08466700491458841,0.2479111409135904,0.6753838717503411,0.675383871750341,0.6753838717503412,0.8416729446644304,0.7600508766649294,0.9232950126639314
flowers,0.3,policy_3level,22.8,2.3172655030434544,1.7328742832937807,2.901656722793128,2.3078911966619025,2.0551827482341722,2.5605996450896327,4.625156699705357,4.220180025570915,5.030133373839799
flowers,0.6,fixed_ddpm_100,39.4,28.631070444493208,23.63695188714282,33.625189001843594,2.9189699223874044,2.9189699223874035,2.9189699223874053,31.55004036688062,26.555921809530233,36.544158924231006
flowers,0.6,fixed_ddim_50,39.4,3.7826537365737067,2.4231092074239733,5.14219826572344,1.5166307527382015,1.516630752738201,1.516630752738202,5.2992844893119075,3.939739960162174,6.658829018461641
flowers,0.6,fixed_ddim_20,39.4,0.32894537222662856,0.20699800731832413,0.450892737134933,0.675383871750341,0.6753838717503409,0.6753838717503411,1.0043292439769698,0.8823818790686654,1.126276608885274
flowers,0.6,policy_3level,39.4,3.9875127600618256,3.660675917414259,4.314349602709393,1.585531393347382,1.5234044348115436,1.6476583518832204,5.573044153409208,5.273804439337779,5.872283867480638
flowers,0.9,fixed_ddpm_100,60.8,58.14938668508737,54.998648479550056,61.30012489062469,2.918969922387401,2.9189699223874004,2.9189699223874013,61.068356607474776,57.91761840193745,64.21909481301209
flowers,0.9,fixed_ddim_50,60.8,16.226249661709478,14.280015387594473,18.172483935824484,1.5166307527381995,1.516630752738199,1.5166307527382,17.742880414447676,15.796646140332669,19.689114688562682
flowers,0.9,fixed_ddim_20,60.8,0.6219762531366408,0.3748359020627366,0.8691166042105452,0.6753838717503411,0.6753838717503411,0.6753838717503411,1.297360124886982,1.0502197738130776,1.5445004759608862
flowers,0.9,policy_3level,60.8,5.518892577176873,5.0029561829360425,6.034828971417703,1.0619569856376636,1.017502196310299,1.1064117749650282,6.580849562814538,6.105951311809509,7.055747813819567
faces,0.3,fixed_ddpm_100,22.8,194.12230598959596,162.35299435871414,225.89161762047777,20.309127472286782,20.30912747228678,20.309127472286786,214.4314334618827,182.6621218310009,246.20074509276452
faces,0.3,fixed_ddim_50,22.8,85.71777498274471,69.10340856440291,102.33214140108652,10.363757655144468,10.363757655144466,10.36375765514447,96.08153263788917,79.46716621954735,112.69589905623099
faces,0.3,fixed_ddim_20,22.8,18.571105625988828,11.24187344869658,25.900337803281076,4.189675450599164,4.189675450599163,4.1896754505991645,22.76078107658799,15.431548899295741,30.090013253880237
faces,0.3,policy_3level,22.8,63.68987226412912,55.531104606932075,71.84863992132617,6.466227673376049,6.1051957424931595,6.827259604258939,70.15609993750519,62.333395465806404,77.97880440920397
faces,0.6,fixed_ddpm_100,39.4,362.5220954025614,340.56122083999264,384.4829699651301,20.309127472286796,20.309127472286793,20.3091274722868,382.8312228748481,360.87034831227936,404.7920974374168
faces,0.6,fixed_ddim_50,39.4,171.57099491342888,159.5147150858228,183.62727474103497,10.363757655144468,10.363757655144468,10.363757655144468,181.93475256857332,169.87847274096723,193.9910323961794
faces,0.6,fixed_ddim_20,39.4,53.028616586159,46.90433062753816,59.15290254477985,4.189675450599165,4.189675450599165,4.189675450599165,57.21829203675817,51.094006078137326,63.34257799537902
faces,0.6,policy_3level,39.4,100.67324735620569,94.39777763135271,106.94871708105867,5.481644163455852,5.413778765328902,5.549509561582801,106.15489151966156,99.94217279432904,112.36761024499408
faces,0.9,fixed_ddpm_100,60.8,578.1150974270793,552.9709079929303,603.2592868612282,20.309127472286786,20.30912747228678,20.309127472286793,598.424224899366,573.280035465217,623.568414333515
faces,0.9,fixed_ddim_50,60.8,280.7485398945237,268.39510280945535,293.101976979592,10.363757655144468,10.363757655144466,10.36375765514447,291.1122975496681,278.75886046459976,303.4657346347364
faces,0.9,fixed_ddim_20,60.8,96.14348197861905,91.54240686554733,100.74455709169077,4.189675450599166,4.189675450599166,4.189675450599166,100.33315742921823,95.7320823161465,104.93423254228996
faces,0.9,policy_3level,60.8,144.88674793163267,140.20211499681852,149.57138086644682,5.026199521766318,4.98920172985333,5.063197313679306,149.912947453399,145.26297948260327,154.56291542419473
