dataset,algo,steps,n_real,n_fake,clip_mean,clip_std,fid
faces,ddim,10,512,512,0.2270697057247162,0.009338452480733395,256.0807800292969
faces,ddim,20,512,512,0.2289082258939743,0.0093792229890823,261.1539306640625
faces,ddim,40,512,512,0.229600191116333,0.009672851301729679,261.7180480957031
faces,ddim,50,512,512,0.2289981245994568,0.010076736100018,263.3172302246094
faces,ddim,80,512,512,0.22771131992340088,0.01009577326476574,262.5325012207031
faces,ddim,100,512,512,0.22764800488948822,0.010065050795674324,263.40289306640625
faces,ddim,150,512,512,0.22755926847457886,0.009556898847222328,265.204345703125
faces,ddpm,10,512,512,0.23042219877243042,0.0065035102888941765,258.5771484375
faces,ddpm,20,512,512,0.2315802276134491,0.0070221261121332645,265.1250915527344
faces,ddpm,40,512,512,0.23203152418136597,0.00824894942343235,265.56988525390625
faces,ddpm,50,512,512,0.23042136430740356,0.008147938176989555,264.9963073730469
faces,ddpm,80,512,512,0.2295847237110138,0.009154897183179855,264.1995544433594
faces,ddpm,100,512,512,0.2286647856235504,0.0095153981819748,265.9623107910156
faces,ddpm,150,512,512,0.22695475816726685,0.009687036275863647,264.30291748046875
