dataset,algo,steps,n_real,n_fake,clip_mean,clip_std,fid
flowers,ddim,10,512,512,0.2385101318359375,0.006661667954176664,131.80972290039062
flowers,ddim,20,512,512,0.2350997626781463,0.0067002843134105,127.85455322265624
flowers,ddim,40,512,512,0.2328057438135147,0.006523873656988144,131.020751953125
flowers,ddim,50,512,512,0.2320609390735626,0.0062317852862179,134.43276977539062
flowers,ddim,80,512,512,0.23115476965904236,0.00613116379827261,135.5219268798828
flowers,ddim,100,512,512,0.23090308904647827,0.005932928062975407,142.61534118652344
flowers,ddim,150,512,512,0.2307000458240509,0.00602112477645278,135.4983367919922
flowers,ddpm,10,512,512,0.2422923892736435,0.00546931242570281,138.35621643066406
flowers,ddpm,20,512,512,0.23968392610549927,0.005345041863620281,124.26758575439453
flowers,ddpm,40,512,512,0.23743733763694763,0.005774687975645065,119.8712387084961
flowers,ddpm,50,512,512,0.23675474524497986,0.005565408151596785,119.26483154296875
flowers,ddpm,80,512,512,0.23545469343662262,0.005717117339372635,119.40829467773438
flowers,ddpm,100,512,512,0.2347262650728225,0.0055703842081129,117.88209533691406
flowers,ddpm,150,512,512,0.23363623023033142,0.005678601562976837,118.8623046875
